layer,head,gain_entropy,gain_max_attn,r_squared_entropy,r_squared_max_attn,is_monotonic_entropy,is_monotonic_max_attn,baseline_entropy,baseline_max_attn,abs_gain_max_attn,gain_category
0,0,-1.7131246307049268,0.13157048236577343,0.9266261170516602,0.9471653422825073,True,True,4.325748920440674,0.1001853197813034,0.13157048236577343,low
0,1,-0.7199909045867634,0.05029273259031841,0.9296326645457387,0.9442664997229344,True,True,4.835829257965088,0.0478849895298481,0.05029273259031841,low
0,2,-1.609191499673496,0.12400735311260454,0.9261826497741315,0.9502978662934427,True,True,4.372345924377441,0.09671968966722488,0.12400735311260454,low
0,3,-1.179262849240488,0.060818393828503646,0.9513488841911856,0.9784274527299363,True,True,4.505969524383545,0.06496511399745941,0.060818393828503646,low
0,4,-0.6507446989561585,0.024795359388585757,0.9847624404873938,0.9807580128949787,True,True,4.698713302612305,0.0371248796582222,0.024795359388585757,low
0,5,-0.6486601259651978,0.02358171584790803,0.9869663469208212,0.9866238143828316,True,True,4.686474800109863,0.03753820061683655,0.02358171584790803,low
0,6,-0.6049813603611286,0.03166869312384319,0.9709310077978756,0.9583234074505902,True,True,4.786045551300049,0.039023544639348984,0.03166869312384319,low
0,7,-0.5781980376442597,0.03332127598442723,0.9691845274473855,0.9554494819400638,True,True,4.811702251434326,0.03965434804558754,0.03332127598442723,low
0,8,-0.38209955079458,0.0471633310510443,0.9124660081904412,0.8928895844792747,True,True,5.042123317718506,0.03936181217432022,0.0471633310510443,low
0,9,-0.5584807349100929,0.038733157616151544,0.9620040984326248,0.9447502079451123,True,True,4.847771167755127,0.04169182851910591,0.038733157616151544,low
0,10,-1.4940610334888014,0.07933841401391135,0.9936764391518409,0.991917162935909,True,True,3.895334482192993,0.09216693043708801,0.07933841401391135,low
0,11,-0.8122412826190974,0.10118112458556316,0.891623595302669,0.883394570771616,True,True,4.851658344268799,0.0655691996216774,0.10118112458556316,low
0,12,-1.0235742907611032,0.06238784814700103,0.9675978802613501,0.9563728855613818,True,True,4.502985000610352,0.06081502512097359,0.06238784814700103,low
0,13,-1.0015861734834086,0.04687831869368493,0.9830401055684896,0.9773078807451925,True,True,4.427322864532471,0.05598843842744827,0.04687831869368493,low
0,14,-1.100289040018656,0.05106736374201229,0.9874181567295338,0.9807682389018836,True,True,4.305954456329346,0.06105194240808487,0.05106736374201229,low
0,15,-0.34322661029475604,0.027929364797776336,0.9338815268238678,0.9361271532515621,True,True,5.047552585601807,0.032512687146663666,0.027929364797776336,low
0,16,-0.9219003805432522,0.043654140242523405,0.9715394806287255,0.9750290198708561,True,True,4.562521934509277,0.05172443762421608,0.043654140242523405,low
0,17,-0.45404723920568046,0.034114992571304,0.9523600182524898,0.9591575343433429,True,True,4.951198101043701,0.04014504328370094,0.034114992571304,low
0,18,-1.0936153212240463,0.04746566629040345,0.9806642146408262,0.9837897366332274,True,True,4.383238315582275,0.0572795495390892,0.04746566629040345,low
0,19,-0.6394980421766158,0.04183545389353432,0.958989858036198,0.9659635069984664,True,True,4.810155391693115,0.04762354865670204,0.04183545389353432,low
0,20,-0.32958695677281113,0.021332936083756946,0.9102042186293513,0.9408170983921698,True,True,5.079736232757568,0.027559250593185425,0.021332936083756946,low
0,21,-0.6770395034968484,0.032580532470421086,0.9607554680336551,0.9624174079727512,True,True,4.758361339569092,0.0396013967692852,0.032580532470421086,low
0,22,-1.0246493731875441,0.04517078550205802,0.9661044452503508,0.9711679026430985,True,True,4.519173622131348,0.05141357704997063,0.04517078550205802,low
0,23,-0.28543731584350013,0.017052531054506756,0.9446841254489396,0.9446634079966545,True,True,5.068547248840332,0.024868519976735115,0.017052531054506756,low
0,24,-0.5904062227381938,0.05447064177366941,0.9373745643510015,0.9255290040133697,True,True,4.876871585845947,0.048806559294462204,0.05447064177366941,low
0,25,-0.6295707444896,0.02838807508785743,0.9809496821209308,0.9791640091185576,True,True,4.733100891113281,0.03988274186849594,0.02838807508785743,low
0,26,-0.4240994568520155,0.02234785050430797,0.9531692190211004,0.9603074805244728,True,True,4.9653825759887695,0.031040295958518982,0.02234785050430797,low
0,27,-0.5932396571882061,0.027228007674915553,0.9705306649714613,0.971771124144214,True,True,4.800339698791504,0.03764306753873825,0.027228007674915553,low
0,28,-0.8719904025787385,0.04819334491495958,0.9560677120225135,0.9724592032324028,True,True,4.681570529937744,0.05257236212491989,0.04819334491495958,low
0,29,-1.3767356012043406,0.07145106017392397,0.9991045512315154,0.9980998230382397,True,True,3.7498199939727783,0.09416982531547546,0.07145106017392397,low
0,30,-0.2657168519114812,0.021909081280074443,0.9239352634614871,0.9517343362623686,True,True,5.112912654876709,0.028345542028546333,0.021909081280074443,low
0,31,-0.3888258093119835,0.020707542703569323,0.825775994773145,0.8606232414064089,True,True,2.114684820175171,0.18672287464141846,0.020707542703569323,low
1,0,-1.7755509854467229,0.3176625245536356,0.9123481634629218,0.9174899052503711,True,True,4.323327541351318,0.18957994878292084,0.3176625245536356,medium
1,1,-1.1228403561863158,0.18379520028851426,0.9336813358810852,0.9360385240527092,True,True,4.581863880157471,0.13261306285858154,0.18379520028851426,medium
1,2,-3.089939315636235,0.5239292463841462,0.911075517721279,0.9344129199099084,True,True,3.79718279838562,0.31021687388420105,0.5239292463841462,medium
1,3,-1.791260697725598,0.3077755998898524,0.9304165307886757,0.9452002063834809,True,True,4.277379989624023,0.20789210498332977,0.3077755998898524,medium
1,4,-1.3629098107590694,0.18332369545235325,0.9447377775037521,0.9324421983290221,True,True,4.396575450897217,0.12868919968605042,0.18332369545235325,medium
