layer,head,head_type,gain_max_attn,r_squared,std_error,gain_entropy,gain_k_eff,is_monotonic
12,0,target,0.11928228855722112,0.9289491125601501,0.019046015210862386,-0.9545132184574611,-86.52013274674414,True
12,15,control,0.10396193577777608,0.9263432821438984,0.01692520483393498,-0.8045083802411997,-75.98501171220039,True
