scale,mean_entropy,mean_max_attn,mean_k_eff,std_entropy,std_max_attn,std_k_eff,n_tokens,layer,head,head_type
0.5,5.113076686859131,0.03156476467847824,194.1431427001953,0.934210479259491,0.05346847325563431,112.30821228027344,510,12,15,control
0.75,4.946809768676758,0.051509782671928406,172.939208984375,0.9610201716423035,0.07902739197015762,101.34368896484375,510,12,15,control
1.0,4.732486248016357,0.07865509390830994,151.39804077148438,1.0126428604125977,0.11205670982599258,90.60070037841797,510,12,15,control
1.25,4.481868267059326,0.11174210160970688,130.17059326171875,1.0827196836471558,0.14716587960720062,80.57404327392578,510,12,15,control
1.5,4.210667610168457,0.14864161610603333,110.0941162109375,1.1549590826034546,0.1790144443511963,71.38264465332031,510,12,15,control
